epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.433,1.21708,2.73364,1.40955,0.00327,0.92157,0.40626,0.26959,1.19786,2.90924,1.47083,0.00044299,0.00044299,0.00044299
2,24.5843,1.2718,1.92832,1.35872,0.49448,0.41123,0.44751,0.25794,1.52649,2.51802,1.66755,0.000882445,0.000882445,0.000882445
3,35.162,1.26597,1.71285,1.37521,0.25854,0.47979,0.39226,0.21142,1.64979,2.76198,2.2095,0.00130379,0.00130379,0.00130379
4,46.2467,1.26746,1.58187,1.34383,0.32726,0.3354,0.34111,0.19527,1.36855,3.2888,1.56079,0.00134412,0.00134412,0.00134412
5,57.4149,1.24704,1.45846,1.34121,0.29112,0.39835,0.31745,0.17709,1.35235,2.99374,1.43329,0.00131582,0.00131582,0.00131582
6,66.7291,1.22527,1.37446,1.33511,0.26127,0.20175,0.32286,0.18691,1.49273,2.61582,1.55147,0.00128753,0.00128753,0.00128753
7,77.9589,1.22128,1.30974,1.31328,0.24558,0.29154,0.29859,0.17505,1.33256,2.60082,1.52299,0.00125923,0.00125923,0.00125923
8,89.2261,1.20206,1.3077,1.32659,0.33441,0.34417,0.3501,0.21729,1.22436,2.48549,1.3617,0.00123094,0.00123094,0.00123094
9,100.14,1.24604,1.22347,1.33637,0.32083,0.3134,0.3746,0.23262,1.31875,2.22984,1.43444,0.00120265,0.00120265,0.00120265
10,109.968,1.17288,1.10677,1.28369,0.29927,0.30825,0.34601,0.22745,1.30486,2.43024,1.44826,0.00117435,0.00117435,0.00117435
11,121.036,1.20932,1.07411,1.31437,0.32835,0.41115,0.42363,0.28222,1.25304,2.09312,1.34147,0.00114606,0.00114606,0.00114606
12,132.173,1.09388,0.99283,1.23232,0.32478,0.3329,0.35781,0.23206,1.40782,2.2274,1.43272,0.00111776,0.00111776,0.00111776
13,142.389,1.15144,1.01093,1.27253,0.29951,0.34267,0.37239,0.24312,1.17857,2.06216,1.2902,0.00108947,0.00108947,0.00108947
14,152.525,1.16206,0.95986,1.25263,0.32231,0.31579,0.34248,0.23202,1.17705,2.3479,1.33617,0.00106118,0.00106118,0.00106118
15,163.503,1.12061,0.91208,1.24772,0.31348,0.31579,0.36282,0.25536,1.17294,2.26602,1.32492,0.00103288,0.00103288,0.00103288
16,174.717,1.10392,0.91321,1.2467,0.32824,0.40909,0.46046,0.32756,1.17049,1.93579,1.27362,0.00100459,0.00100459,0.00100459
17,184.189,1.09364,0.82135,1.21089,0.31623,0.3243,0.36625,0.26273,1.16165,2.16077,1.25713,0.000976293,0.000976293,0.000976293
18,195.321,1.09809,0.8417,1.23328,0.32268,0.32456,0.36615,0.24179,1.19258,2.09827,1.28728,0.000947999,0.000947999,0.000947999
19,206.399,1.08866,0.83433,1.2145,0.3076,0.31458,0.34009,0.22839,1.32115,2.34861,1.37485,0.000919704,0.000919704,0.000919704
20,216.953,1.06443,0.79522,1.20639,0.3208,0.36364,0.38627,0.25924,1.24574,2.11887,1.36882,0.00089141,0.00089141,0.00089141
21,226.668,1.05944,0.79283,1.21426,0.30079,0.32456,0.35913,0.24328,1.22581,2.30538,1.32913,0.000863116,0.000863116,0.000863116
22,237.918,1.05666,0.76906,1.20437,0.31399,0.32456,0.37455,0.24489,1.33102,2.1593,1.40284,0.000834822,0.000834822,0.000834822
23,249.004,1.03647,0.73752,1.18925,0.32455,0.32419,0.41551,0.28678,1.1749,2.38827,1.29931,0.000806528,0.000806528,0.000806528
24,258.565,0.99765,0.71615,1.16206,0.32103,0.34598,0.43824,0.2865,1.18463,2.09291,1.29406,0.000778233,0.000778233,0.000778233
25,269.221,1.01297,0.75255,1.18203,0.31664,0.33269,0.3989,0.27975,1.18959,2.25959,1.3241,0.000749939,0.000749939,0.000749939
